,ideology,sentence
14,Liberal,"I also noticed that , starting perhaps thirty years ago with the increase in the number of black mayors and community outrage and protest at police killings and the judgments obtained in civil cases , police who shot and killed civilians were moved to desk and other assignments , where they would not interact with the community ."
15,Liberal,Health care and child care for low-wage workers have fallen victim to state budget cuts and a Republican Congress more interested in exerting U.S. military force abroad than supporting low-wage working families at home .
16,Liberal,"Paradoxically , if we free workers from taking jobs based on whether or not that job provides health care , we strengthen capitalism because we encourage people to do what they are best suited to do ."
17,Liberal,But his agenda has clear class implications : universal health care aimed at helping the uninsured ; stimulus spending heavily oriented toward the unemployed ; and a financial bailout that aided Wall Street while enraging lower-income voters .
18,Liberal,"But from New York to Philadelphia , from Seattle to Los Angeles , Occupiers were joined ( or infiltrated , in the eyes of some ) by activists talking up the benefits of a truly freed market , without government giveaways to favored interests or central bank manipulations of the economy ."
19,Liberal,"These countries ' restrictive laws against civilians owning guns , which make owning a gun for defensive purposes either difficult or nearly impossible , are credited with producing much lower rates of gun deaths in those countries than in America ."
20,Liberal,"We make that argument throughout the book , connecting the dots among the causes of economic freedom , life , marriage , and religious liberty ."
21,Liberal,"And because private - equity partners can receive those gains as `` carried interest '' ( taxed only at 15 percent ) , they benefit from special legal advantages in yet one more way ."
22,Liberal,"And all of these problems have the potential to feed on another , breeding not only stagnation but downward mobility ; not only inequality but permanent stratification ; not only persistent poverty but rising crime ; not only anti-immigrant anxieties but outright xenophobia ; not only skepticism about the free market but populist fury ."
23,Liberal,"Some of the '60s reforms also attempted to do things on behalf of the poor that no one knew how to do well , and the limits and frustrations of those programs left a bitter residue , including resistance to taxes ."
24,Liberal,"Supply-side economics , which rewards the rich with generous tax breaks and tells us that the resulting economic growth will `` trickle down '' to everyone else , has proven a cruel hoax ."
25,Liberal,"They assume that it mostly comes down to energy efficiency ( and other technical fixes ) without understanding that in a capitalist system , growth of efficiency normally leads to an increase in scale of the economy ( and further rifts in ecological systems ) that more than negates any ecological gains made ( a problem known as the Jevons Paradox ) ."
26,Liberal,"We may be the scapegoat du jour , but the real aim is to blame low-income communities for a financial crisis that was caused by inadequate regulation and greed ."
27,Liberal,"In response , a conservative state senator named Arthur Ravenel Jr. , who 'd made a name for himself by defending public display of the Confederate flag and mocking his opponents as the `` National Association of Retarded People , '' pushed through legislation that made the school board election partisan , thus introducing a primary process that ensured a one-on-one fight in the final round ."
28,Liberal,"Abstract : The big plant outside of town that used to produce trailer truck beds is a rare success story , having been taken over by German electronics firm Siemens to produce blades for wind generators , part of the small but growing local non-ethanol green energy sector ."
29,Liberal,"So if we are serious about creating jobs , if we are serious about making sure our economy can be competitive in the global economy , we have to be watching what other countries are doing , and they are investing far more than we are ."
30,Liberal,"ensures that advocates of freedom are n't confused with people who use market rhetoric to prop up an unjust status quo , and expresses solidarity between defenders of freed markets and workers -- as well as ordinary people around the world who use ` capitalism ' as a short-hand label for the world-system that constrains their freedom and stunts their lives ."
31,Liberal,"Public schools will get better and actually provide an education for the children who attend them , when , as occurred with the Southern freedom movement , the people at the bottom , those who have been written off as apathetic , too ignorant or hopeless , begin to make demands ."
32,Liberal,Greedy bastards are making almost unimaginable fortunes by skimming money from the customers they are supposed to serve and giving virtually nothing in return .
33,Liberal,"Cliche-ridden hack writing , jumped-up rich lower-class arrivistes , pushy aggressive women , trendy homosexuals , pretentious bores , above all Greeks ( Juvenal 's anti-Hellenic rant has all the qualities of later anti-Semitism ) : there is a timeless flavor about the list of his pet hates ."
34,Liberal,"Alternatively , there would undoubtedly be a large number of ISPs who would not only want to avoid the administrative burden of being forced into the role of Internet cop , but who would also rightly regard the risks of providing Internet access as outweighing the benefits ."
35,Liberal,"And since entrusting our health care to the private sector had allowed both unconscionable profits for the insurers and lousy service for sick people , the debate has traditionally taken a populist tone ."
36,Liberal,"Children were more likely to receive that support when their parents ( or other guardians ) could find secure and personally satisfying jobs , high-quality child care , and a supportive partnership that left room for a measure of personal autonomy ."
37,Liberal,"Convinced that exploding health care costs were going to cripple the government and eventually the country , he used his perch to sound the alarm -- and used his agency to grease the wheels of change ."
38,Liberal,"Ironically , the values touted by WEIRD multiculturalists are prevalent nowhere but in their own backyards ; the nationalism , religiosity , and puritanical values they deride are dominant in the cultures for which they urge tolerance ."
39,Liberal,"Unchecked global warming will likely produce a lot of human misery around the world , but not all of that misery will create military threats ."
40,Liberal,"They are vilified , and in many states there are explicit attempts to undermine them , but there is no recognition of the important role that they can play in countervailing other special interests and in defending the basic social protections that are necessary if workers are to accept change and to adjust to the changing economic environment ."
41,Liberal,The mega-rich ca n't spend all of their income ; depressed aggregate demand causes high unemployment ; human potential is wasted ; corporations rig competitive markets to reap monopoly profits ; the immensely wealthy engage in speculation rather than productive investment .
42,Liberal,"Lobbying for the bill , Foster urges pro-life groups and members of Congress to think about the `` serious reasons , '' like lack of good child care or other social services , that make women reluctant to give birth ."
43,Liberal,"The problems with the national party that make Warner 's sure victory over Gilmore so dramatic -- the unpopularity of the war , dissatisfaction with the economy , and gas prices -- affect every contested Senate race ."
44,Liberal,These are precisely the kinds of events where free speech and the freedom to protest need protection the most : when influential figures make high-level decisions with far-reaching consequences .
45,Liberal,"But so too does the practice of turning regulatory agencies over to business lobbies , the privatization of national security and the attempted privatization of Social Security , the design of initiatives in Medicare to benefit drug companies , and trade agreements to benefit corporate agriculture at the expense of subsistence farmers in the Third World ."
46,Liberal,"There is a great deal of truth in that ; but the fact remains that plenty of other only children grew up in lower-middle-class homes in Norbury between the wars without ending , for good or ill , as the wealthy and world-famous fictional voice of their generation ."
47,Liberal,"The Green Party is generally supportive of gun control -- even for police -- as the party 's 2008 platform called for limiting police possession of guns and even non-lethal weapons such as Tasers , tear gas , and pepper spray ."
48,Liberal,"A Senate report produced for Inhofe 's Environment and Public Works Committee concluded that , among other problems , `` scientists involved in the CRU controversy violated fundamental ethical principles governing taxpayer-funded research and , in some cases , may have violated federal laws ."
49,Liberal,"They gained permission to infiltrate , monitor and repress the social and indigenous movements fighting the devastation and irrational settlement of the Amazon ."
50,Liberal,"A main rationale behind universal , government-run healthcare is that there would be more-abundant , better-quality care available for everyone if greedy insurance companies could be cut out as the middle-men in the medical equation ."
51,Liberal,"Instead of the tyranny of enforced virtue , the political economists preached the vision of a `` natural system of liberty '' in which the invisible hand would transmute the avarice and greed of individuals into the public good of wealth for all ."
52,Liberal,"The Coordinated Border Infrastructure Program of the Safe , Accountable , Flexible , Efficient Transportation Equity Act of 2005 -- A Legacy for Users ( SAFETEA-LU ) allows for the tolling of existing interstate highways , and even provides for U.S. ."
53,Liberal,"For all practical purposes , it is advancing the idea that dictatorial control is more desirable than voluntary exchange between buyers and sellers , each of whom is free to accept or reject the other party 's offer ."
54,Liberal,"Even Reagan , who championed the principles of free-market capitalism and peace-through-strength , failed to make some of the tough choices of leadership ."
55,Liberal,"PENNSYLVANIA MADE PRE-K A PRIORITY later than Illinois , but its march toward an exemplary early education system bears a lot of similarities : a strong advocacy community , engaged philanthropists , a broad coalition of support , bipartisan leadership , and a solid foundation to build on ."
56,Liberal,"Abstract : Calling fatherlessness a `` social evil '' and the `` engine driving our worst social problems , '' they promote father presence as a panacea for poverty , failure in school , emotional and behavioral problems among boys , premarital sex and pregnancy among girls , suicide , child abuse , and even social inequality ."
57,Liberal,"Now , as the war he demanded lies in ruins , Krauthammer uses his Post column to revise his record : `` Our objectives in Iraq were twofold and always simple : Depose Saddam Hussein and replace his murderous regime with a self-sustaining , democratic government ."
58,Liberal,"In fact , CFR members in the Roosevelt administration dominated both the 1944 Bretton Woods Conference that created the IMF\/World Bank system and the parallel 1944 Dumbarton Oaks Conference that created the United Nations Charter ."
59,Liberal,"In other words , if you regard a college degree as a rough proxy for intelligence or hard work , then you are economically better off to be born rich , dumb , and lazy than poor , smart , and industrious ."
60,Liberal,The reason why the bottom quartile has low disposable income is partly because of our lousy educational system plus the taxes they now pay for that school system .
61,Liberal,Obama seems to understand that creating workarounds for every problem does n't necessarily make government work better - it just makes it more complicated .
62,Liberal,"To be fair , education is not thoroughly under the control of greedy bastards , and the amount of waste and theft is far smaller than what you find in the other industries discussed in this book ."
63,Liberal,"As chairman of a new committee on energy independence and global warming set up by House Speaker Nancy Pelosi , he had helped pass a groundbreaking energy bill that would cut greenhouse emissions and boost fuel standards for the first time since 1975 ."
64,Liberal,"It 's bold political jujutsu to argue , in the midst of a recession , that not spending $ 1 trillion to overhaul the American healthcare system poses `` one of the greatest threats ... to the very foundation of our economy ."
65,Liberal,The Fair Employment Practices Commission ( created by FDR to ward offa threatened March on Washington in 1941 led by A. Phillip Randolph to demand war jobs for African Americans ) outlawed discrimination in defense-industry hiring .
66,Liberal,"As long as economic and fiscal pressures fuel anxiety over immigrants , the increased competition for jobs , and the deteriorating public-school system , it will be hard to generate compassionate and rational responses for youthful lawbreakers ."
67,Liberal,"So if that bank fails , that specialized knowledge gets destroyed ; therefore , at least in the short term , no one can easily make that kind of loan ."
68,Liberal,"The EU is livid in Copenhagen 's aftermath , and with China and the U.S. agreeing only to token future goals , the director of BusinessEurope is threatening that European corporations will move operations to world regions with less emission regulation ( NYT , `` EU Blames Others for ` Great Failure ' on Climate , '' 12\/23\/09 ) ."
69,Liberal,"After a number of unsuccessful legislative initiatives , the UAW effectively gave up fighting for a class-wide safety net and winning benefits from the companies ."
70,Liberal,"But there is little reason to believe that this class of Republicans will be helpful in formulating a tough policy toward an increasingly arrogant China , extricating America from Afghanistan , and using U.S. leverage to seek a peaceful settlement of the Israeli-Palestinian conflict ."
71,Liberal,"The result has been an often one-sided debate , in which Democratic values and policies are viciously attacked while Republican ideas receive no serious scrutiny ."
72,Liberal,"In doing so , our government will only be fulfilling several of its grand and proudest functions : guaranteeing essentials to every member of society , laying the physical structural foundation for an efficient and dynamic economy , and filling roles the free market fails to fully address . ''"
73,Liberal,"Allowed freedom , individual decision makers would unleash creative destruction on much of the current system ."
74,Liberal,"Before Brown and Darling arrived in the United States in late September to promote the plan , the British newspaper The Guardian said that they are calling for `` a stronger international regulatory system , based around an early-warning system run by the IMF '' and that they want to `` create an international consensus for a tougher global system of regulation ."
75,Liberal,"The most intractable problem , the root cause of instability , is the low and declining share of GDP devoted to household consumption , which has dropped around 11 percentage points in a decade , from 45.3 percent of GDP in 2001 to 33.8 percent in 2010 ."
76,Liberal,"Abstract : For years , feminists have been warning that , underneath all the attacks on women 's reproductive rights - the multiplying restrictions on abortion , the attempts to defund Planned Parenthood 's health services , the `` conscience clauses '' that let pharmacists choose which pills they 'll dispense - lies a determined opposition to contraception and to women 's independence generally ."
77,Liberal,"Ignoring the economic , political , and social causes of a number of widespread mental health problems , these discourses `` blame the victim '' when individuals deviate from the narrow range of accepted behavioral norms ."
78,Liberal,"For example , McKibben points out that the established measure of economic growth - the Gross National Product-incorporates perverse incentives for economic exchange such that the most productive ( read `` happy '' ) citizen is `` a cancer patient who totals his car on his way to meet with his divorce lawyer ."
79,Liberal,"The earlier provision had made better-off retirees subject to income tax on up to half of their Social Security benefits , with the resulting savings accruing to the Social Security Trust Fund ."
80,Liberal,"All had problems with stable employment , which was undoubtedly an important root cause of much of their destructive behavior ."
81,Liberal,"But many of us , as citizens , are appalled at Wal-Mart 's low pay , its power to force suppliers to cut their own payrolls and outsource abroad , and its decimating effects on Main Streets ."
82,Liberal,"Problems with private pension funds , as well as private suppliers of education , health , and infrastructure , are showing us that social services are too critical to be ruled by private profit motives ."
83,Liberal,"It is no accident that strongly conservative views , views that militate against taxes on the rich , have spread even as the rich get richer : in addition to directly buying influence , money can be used to shape public perceptions ."
84,Liberal,Good because fewer people are affected by these injustices ; bad because those who are affected are predominantly the least privileged .
85,Liberal,"First the Great Depression , which led many employers to reduce wages , gave new strength to the union movement as angry workers organized to fight pay cuts ."
86,Liberal,"The goals of the CFR 's founders were to create conditions in finance , in politics , and in public opinion under which the American system of limited government -- a system Lippmann , House , and the others were dissatisfied with -- could be fundamentally changed , and a new international order based on a truly global system of governance would eventually be accepted ."
87,Liberal,"We wanted Obama to appoint some progressives to his cabinet , get out of Afghanistan , scale back the military empire , shrink the megabanks , create a public bank , push hard for a public option in health care , push through a second stimulus bill to save and create jobs , and end the Bush tax cuts ."
88,Liberal,Numerous interest groups seize the widespread public concern for the poor to create support for government transfers that are designed and implemented to benefit those very interest groups more than the poor who were supposedly the primary beneficiaries .
89,Liberal,"Most startling , Scalia observed that in an `` overwhelmingly black '' school district , a decision by the elected school board to essentially say `` We would like our race to get into ... better white schools '' would not reflect a `` benign '' or `` compelling '' governmental interest ( to which courts must accord deference ) , because the board would be `` doing it for a racially selfish reason ."
90,Liberal,"It 's therefore natural to conclude that Bush has simply betrayed conservatism , and therefore that conservative intellectuals and activists bear none of the blame for the iniquities perpetrated by Republicans in office ."
91,Liberal,"The rich , in other words , can afford both to create more dimensions in which their children can excel and to place them in an environment where such excellence is rewarded ."
92,Liberal,"At the same time , he argued that we could not afford the funds needed to avoid debilitating cuts in public schools , much less to double the federal commitment to public schools-from 2 percent to 4 percent of the national budget-and to lead a renewed commitment at all levels to educating the next generation ."
93,Liberal,Americans have seen the number of guns in private hands continue to rise -- and the number of states that pretty much allow any law-abiding citizen to carry concealed weapons reach over 40 .
94,Liberal,"As I mentioned before , the most heated arguments about values and morals in our society come from strong disagreements over a fairly narrow range of issues , mostly having to do with sex and human life . ''"
95,Liberal,"He also found that in cases where employees prevailed , the median award amount was $ 36,500 , and the average was $ 109,858 , both substantially lower than award amounts reported in employment litigation , A study of securities arbitrations between 1992 and 1996 found that in arbitration , plaintiffs won considerably smaller awards than in comparable court proceedings ."
96,Liberal,"Schweitzer has made alternative energy and smart use of natural resources a centerpiece first of his campaign , and then of his administration , showcasing how investment in new , clean , and innovative energy can rebuild Montana 's economy , put money back into the pockets of his constituents , and create lasting opportunities for Montana farms and businesses ."
97,Liberal,"Even worse : `` The disasters caused by climate change are threatening the survival of human beings , '' Calderon opined ."
98,Liberal,"`` We 're seeing the rich get richer in this country , we 're seeing more organized interest groups with more and more money , we 're seeing a dominance in Congress of oil interests and insurance interests and drug company interests , and the whole idea of tax cuts over and over and over for the wealthiest people ."
99,Liberal,"This is an immensely important change : the historical bourgeoisie , constituted of families rooted locally , has given way to an anonymous oligarchy\/plutocracy that controls the monopolies , in spite of the dispersion of the title deeds of their capital ."
100,Liberal,"Dressed in purple and fine linen and `` feasting sumptuously every day , '' the rich man has found a way to ignore and step over a poor beggar who lies just outside his gate and might as well be invisible ."
101,Liberal,"For example , the Environmental Protection Agency ( EPA ) included private benefits in a CBA of higher fuel economy standards to reduce GHG emissions , arguing that making people purchase higher-mileage cars than they prefer makes car buyers better off ."
102,Liberal,"Democratic Party Chairman Howard Dean did his part to whip up a reaction : `` We must come to terms with the ugly truth that skin color , age and economics played a deadly role in who survived and who did not ."
103,Liberal,That must be our goal in the fight for energy independence : we must adopt the innovative technologies that will make oil boring .
104,Liberal,"At that time , Franklin Roosevelt corrected the faults in the economy and created the Social security Act to build lifeboats for Americans drowned by the failure of the marketplace ."
105,Liberal,Our policy makers have cut tariffs and allowed China and other low-cost producers to flood our stores with goods made by workers usually earning less than a dollar an hour .
106,Liberal,They saw as the great social evil the regimentation of the poor by the avaricious employers who were controlled and often capriciously ruined by the manipulations of international financiers .
107,Liberal,"`` Trayvon 's life has been lost not because of an accident , but because of the easy access to a gun by a violent person permitted by a state with weak gun laws ."
108,Liberal,"So while conservatives believe , say , that progressive taxes inhibit incentives to work , they would not change this view even if it were proven wrong , because buttressing their position is a deeper belief about the immorality of big government ."
109,Liberal,"Because it would not be worthwhile to bring a case for $ 30.22 , the arbitration clause would , as a practical matter , deny the Concepcions any relief and , more important , eliminate a class action that might punish AT&T for its pattern of fraudulent behavior ."
110,Liberal,"CAFTA would replace that process with a set of unenforceable commitments , weakening labor rights in order to establish free trade with a region whose goods overwhelmingly already enjoy free access to the American market ."
111,Liberal,"In an age of mass migration , at least in one direction , this gives it a great advantage over Europe , where nationhood is founded on a socio-biological past and which therefore has much greater difficulty , in absorbing large numbers of immigrants ."
112,Liberal,"For all of us who understand that Social Security is life and death for tens of millions of Americans today and will be vitally important for working people as they reach retirement age , it is important that we understand that Social Security has done a great job ."
113,Liberal,"On the other are `` whole child '' reformers , who argue that focusing on schools is both too narrow and unfair to educators , because the stresses of poverty have such a crippling effect on young children 's development that dramatic educational improvement is impossible without much broader policies to alleviate poverty ."
114,Liberal,"Though the practice can be defended as generating revenue used to improve the college 's academic program , the effect is to favor middle-class and less needy applicants ."
115,Liberal,"In conditions in which both male and female workers have been forced by adverse conditions in the labor market to accept adverse low-paid and insecure work contracts , as occurred not only in post-crisis East Asia but in other countries of the region , there has been less overt preference for young women workers than was previously observed ."
116,Liberal,"Elsewhere , U.S.A. fails to analyze the sources of personal insecurity and family instability among the less educated , who have borne the true brunt of the growing `` risk society , '' and it never addresses the policies that might soften inequality ( greater public investments in education , especially higher education , would make sense here ) ."
117,Liberal,"What 's more , virtually every subsidiary Republican attackfrom gay marriage ( Homosexual Party ) to taxes ( Nanny Party ) to abortion ( whatever you say , dear ) - has exploited traditional gender stereotypes and reinforced the theme of Democratic wimpery ."
118,Liberal,"Workers would have a far better chance of improving their earnings if they were better educated before they entered the workforce , and if education and training were complemented by other labormarket interventions such as higher minimum wages , stronger unions , and a national strategy of creating good jobs ."
119,Liberal,"When presented with GBA 's conclusion that increased St. Clair River flows were abnormally lowering lake levels , skeptics at Environment Canada tried to assure the group the change in water levels was due to changes in the amount of water available in the lake basins , caused by the acknowledged drought affecting the upper Great Lakes ."
120,Liberal,"When you ignore the fundamental teachings of the Gospels , which say that the way the strong treat the weak is the ultimate ethical test , by giving tax breaks to the wealthiest among us so that the strong will get stronger and the weak will get weaker , you are doing something immoral ."
121,Liberal,"Since circulating the Post story , the Bushies went on to fumble the response to a natural disaster , withdraw a Supreme Court nominee , watch a top aide get indicted , and witlessly hand a Middle Eastern government control of our vulnerable ports ."
122,Liberal,"To get a sense of the inner workings of conservative Washington , we need only take a glimpse at the politics of suburban Loudoun County itself , where a nasty fight between business interests and , well , people has been going on for years ."
123,Liberal,"A high-quality teacher is only about half as likely to make it to the seven-year mark as a low-quality teacher .18 Meanwhile , eager and talented young people are discouraged by very low starting salaries from trying teaching for a few years in their twenties before moving on to another career ."
124,Liberal,In such a setting the molding of human wants and the designing of products to satisfy them cease to be a result of the objectified forces of the market and become the outcome of a conscious manipulative effort on the part of a relatively small number of monopolistic corporations .
125,Liberal,"What is most striking about the demands of the recent revolutionary uprisings across the Middle East is that they are overwhelmingly secular , universal demands for freedom , human rights , and economic justice ; not fanatical cries to impose a supreme leader , nor fundamentalist calls to holy warfare ."
126,Liberal,"It will not stop until the corporate abuse of the poor , the working class , the elderly , the sick , children , those being slaughtered in our imperial wars and tortured in our black sites , stops ."
127,Liberal,"Democrats have been stumbling on education policy for years , fracturing the progressive coalition , tainting the party brand , creating undeserved political opportunities for Republicans , and , worst of all , standing in the way of school reforms that primarily benefit low-income and minority children ."
128,Liberal,"I suggested earlier that such a result contradicts fundamental laws of economics , but of course I was thinking of business firms , which will cut back if they discover that they are adding costs without generating commensurate increases in profits ."
129,Liberal,"Indeed , during an April visit to China , American food safety inspectors had little trouble finding Chinese workers who openly admitted that scrap melamine is routinely used to augment low-grade wheat , corn , and soybean products , particularly those made for animal consumption ."
130,Liberal,"THE CONSERVATIVE MOVEMENT IS ROOTED IN A COHERent , easy-to-summarize ideology : Government does n't work , except to protect you from terrorists ; you deserve to keep more of your own money ; cherished American family values , including national security , are under assault from liberals ."
131,Liberal,"Since being elected last fall , he has refused to gut Medicaid , instructed his administration to implement the health care law despite his opposition to it , defended embryonic stem-cell research against conservative attacks , and conspicuously avoided the scorched-earth rhetoric on unions that is popular with most of his Republican colleagues ."
132,Liberal,"However , the deduction is an inefficient mechanism for helping low - and middle - income people buy homes because it is worth less to families in lower income brackets , many of whom do not even itemize their deductions ."
133,Liberal,"Their themes are familiar : Government is in the way and has no role to play in an economic recovery , taxes are always bad , tax cuts will spur growth , public programs are wasteful and unnecessary , private companies can do a better job , public workers are lazy and coddled , public spending is the root of our problems ."
134,Liberal,"In the Keynesian view , because fiat money created by and manipulated by the state is superior to gold ( `` that barbarous relic , '' Keynes called it ) , economic growth depends not on the accumulation of wealth via savings but on spending and consumption ."
135,Liberal,"In effect , she asks us to believe that the anti-government rhetoric of the past decades was successful not because it contained a grain of truth but because of brilliant conservative propaganda ."
136,Liberal,"The body 's numerous obstructive procedural mechanisms and the structural elements that lend individual members so much independence are precisely what encourage petty corruption , pork barreling , and the easy ability of special interests to block progressive reforms ."
137,Liberal,"Because the primary effect of repealing the estate tax would be to reduce the long-run tax burden of the wealthiest 1 percent or 2 percent , people who said that the rich are asked to pay too little in taxes should have been especially likely to oppose repeal ."
138,Liberal,"On the contrary , the program continues to enjoy overwhelming public support , and since the late 1990s , its costs per beneficiary have grown more slowly than those of private insurers ."
139,Liberal,"The gay-marriage effort has been a cause as well as an effect in this change : while same-sex marriage is disturbing to many Americans , it is reassuring to others , suggesting as it does loyalty to a middle-class ideal ."
140,Liberal,Some 40 National Labor Relations Board decisions under Bush appointees have made it easier for employees to harass or intimidate pro-union workers and harder to win union certification .
141,Liberal,"There are societies that have managed things far better , even in a world where market forces and the dominant policy paradigm lead to substantial inequality because of differences in ability , effort , and luck ."
142,Liberal,"Since the greenhouse effect is a real effect , it is hard to avoid the conclusion that the buildup of greenhouse gases will result in an intensified greenhouse effect , resulting in increased global warming to some extent ."
143,Liberal,"Professional women like Jane often lose benefits and opportunities when they reduce hours , but workers at Wal-Mart and many other places see their hours cut or capped without their consent , and any health and pension benefits disappear altogether ."
144,Liberal,"Creating actual equality of opportunity -- that is , a world in which a child of extremely poor parents is just as likely to succeed as an equally talented child of rich parents -- is probably an unrealizable goal ."
145,Liberal,It begins with an assessment of how ordinary people fell victim to the abuses of a predatory system and then moves into several takes on regulatory remedies .
146,Liberal,"The domestic servant may be underpaid and overworked by prevailing standards , and thus severely exploited ; the fact of exploitation does not imply the creation of surplus value ."
147,Liberal,"But Latin America was also the first region in the world where these policies came to be rejected as policies that only served to increase poverty , aggravate social inequalities , destroy the environment , and weaken working-class and popular movements in general ."
148,Liberal,It is both ironic and tragic that changes to U.S. trade policy that favor the developing world are often opposed by farm interests on the grounds that they hurt U.S. producers .
149,Liberal,He has also compared automatic black-market weapons to legal semiautomatic assault weapons .
150,Liberal,"First , the 1996 reforms involved two components : changing welfare and building work supports outside welfarethe EITC , minimum-wage increase , improved child-support enforcement , broadened health care , expanded child care ."
151,Liberal,"The fact that China and Russia have accepted the consensus in the UN Security Council is tantamount to saying : `` We accept that you kill our economy and , in some ways , our commercial agreements with a third country ."
152,Liberal,"Reading between the lines , there are also at least two other sources of irritation : for a Jew , Christianity 's pragmatic success , and its often shameful means of `` overpowering '' Juda-ism , are rightly appalling the forced readings of the Hebrew Bible evident in the New Testament , along with the centu-ries of political oppression and public and private anti-Semitism ."
153,Liberal,"Their incessant battle against new taxes , coupled with demands for tax cuts , have resulted in massive budget deficits that threaten the economy and the viability of government , both of which we are all utterly dependent on ."
154,Liberal,"Arch Social Security hater Peter Ferrara once told me that funding it with general revenues was part of his plan to destroy it by converting Social Security into a welfare program , rather than an earned benefit ."
155,Liberal,"Given the effects of worsening socioeconomic conditions on public education , any reference to closing the achievement gap that does not centrally address the wider social problems and their effect on schools represents a cruel hoax ."
156,Liberal,"Even if the models had detected possible losses better , things still would have gotten ugly because the market obsessively reused , or leveraged , these loans in multiple ways ."
157,Liberal,"The new economy rich often favor tax increases because , in contrast to Republicans and their business backers , they enthusiastically support increased government spending on education , health care , and scientific research ."
158,Liberal,"But while imported products may benefit working-class consumers as much as they benefit affluent consumers , the benefits of imported labor overwhelmingly accrue to the wealthy because the wealthy spend a much greater share of their incomes on services ."
159,Liberal,"As Benjamin Franklin warned and the tragic events in Mumbai prove , surrendering liberty for promises of security ultimately results in a loss of both ."
160,Liberal,"And therefore there is also no justification for the favorable tax treatment of capital income , which increasingly permits the wealthy to retain full control over the allocation of their wealth ."
161,Liberal,"Social Security has been an impressively successful program , which has not only almost eliminated poverty among the elderly33 but also provided a kind of security that no private insurance program can match , protecting against volatility in the stock market as well as against inflation ."
162,Liberal,There are certainly reasonable arguments to be made that Democrats ' efforts to do so will be facilitated by defusing Republican values issues and continuing to close the gap on national-security issues .
163,Liberal,"Overburdening CRA with new requirements and expanding it to new industries , products , and situations can , paradoxically , defeat the larger purpose if the result is to dilute CRA 's effectiveness or lead us to ignore other needed policy tools ."
164,Liberal,This has poisoned the atmosphere and seriously limits the ability of the 17 euro-area countries to make decisions that are collectively sensible but individually difficult .
165,Liberal,"McKinsey suggests that the drug industry can survive and even thrive in this environment `` by focusing on ` productive ' innovation ( supported by strong evidence ) , collaborating with payors and providers in new ways , and revamping commercial and R&D models to significantly improve effectiveness and efficiency ."
166,Liberal,The U.S. Senate losses by Tea Party favorites Sharron Angle and Christine O'Donnell has led some pundits to conclude that the Tea Party is responsible for the U.S. Senate remaining in Democratic hands .
167,Liberal,"By loading them with debt , they cut tibe companies ' taxes because the interest is fully deductible from profits , and they use those tax savings to pay themselves generous fees and dividends ."
168,Liberal,"Although it is not clear how much meat consumption would fall as a result , it makes sense , as it does with driving , to at least remove the price advantage of such an environmentally destructive activity ."
